date,ahlequelle
2015-11-13,0.017777777777777778
2015-11-14,0.015549575844946827
2015-11-15,0.013877018465646955
2015-11-16,0.012721754082539694
2015-11-17,0.01204543113828658
2015-11-18,0.011809698075549154
2015-11-19,0.011976203336988947
2015-11-20,0.012506595365267499
2015-11-21,0.013362522603046342
2015-11-22,0.014505633492987014
2015-11-23,0.015897576477751058
2015-11-24,0.0175
2015-11-25,0.01927455250239538
2015-11-26,0.021182882427598738
2015-11-27,0.0231866382182716
2015-11-28,0.025247468317075514
2015-11-29,0.027327021166672006
2015-11-30,0.029386945209722622
2015-12-01,0.03138888888888889
2015-12-02,0.033284336451246864
2015-12-03,0.034984115361530656
2015-12-04,0.03638888888888889
2015-12-05,0.03742472982394648
2015-12-06,0.038119349043233504
2015-12-07,0.03852586694475634
2015-12-08,0.03869740392652137
2015-12-09,0.03868708038653496
2015-12-10,0.03854801672280349
2015-12-11,0.03833333333333333
2015-12-12,0.03808802693732618
2015-12-13,0.037824599538765005
2015-12-14,0.03754742946282809
2015-12-15,0.03726089503469373
2015-12-16,0.03696937457954022
2015-12-17,0.03667724642254585
2015-12-18,0.03638888888888889
2015-12-19,0.036108892160877676
2015-12-20,0.035842693849340676
2015-12-21,0.0355959434222364
2015-12-22,0.03537429034752333
2015-12-23,0.03518338409315998
2015-12-24,0.035028874127104835
2015-12-25,0.034916409917316434
2015-12-26,0.03485164093175324
2015-12-27,0.03484021663837377
2015-12-28,0.03488778650513652
2015-12-29,0.035
2015-12-30,0.0351780701164964
2015-12-31,0.03540546395045265
2016-01-01,0.0356612121232694
2016-01-02,0.035924345256347266
2016-01-03,0.036173893971086876
2016-01-04,0.03638888888888889
2016-01-05,0.036555555965930644
2016-01-06,0.036688902497496456
2016-01-07,0.03681113111364738
2016-01-08,0.036944444444444446
2016-01-09,0.03710603142501602
2016-01-10,0.037293026210759736
2016-01-11,0.03749754926214053
2016-01-12,0.03771172103962334
2016-01-13,0.03792766200367311
2016-01-14,0.0381374926147548
2016-01-15,0.03833333333333333
2016-01-16,0.03850905621515756
2016-01-17,0.03866553969711195
2016-01-18,0.038805413811364854
2016-01-19,0.03893130859008464
2016-01-20,0.03904585406543965
2016-01-21,0.03915168026959826
2016-01-22,0.039251417234728844
2016-01-23,0.039347694992999734
2016-01-24,0.039443143576579305
2016-01-25,0.03954039301763592
2016-01-26,0.039642073348337935
2016-01-27,0.039750814600853716
2016-01-28,0.03986924680735162
2016-01-29,0.04
2016-01-30,0.04014738330931682
2016-01-31,0.040322422259218366
2016-02-01,0.04053782147197054
2016-02-02,0.0408062855698392
2016-02-03,0.041140519175090255
2016-02-04,0.04155322690998958
2016-02-05,0.04205711339680307
2016-02-06,0.0426648832577966
2016-02-07,0.043389241115236066
2016-02-08,0.044242891591387334
2016-02-09,0.04523853930851632
2016-02-10,0.04638888888888889
2016-02-11,0.0476671920498285
2016-02-12,0.04888888888888889
2016-02-13,0.04987269012604992
2016-02-14,0.05060820059076559
2016-02-15,0.051127748639858486
2016-02-16,0.05146366263015115
2016-02-17,0.05164827091846615
2016-02-18,0.05171390186162607
2016-02-19,0.05169288381645345
2016-02-20,0.05161754513977086
2016-02-21,0.05152021418840086
2016-02-22,0.051433219319166015
2016-02-23,0.05138888888888889
2016-02-24,0.051403022405831285
2016-02-25,0.05142530398401195
2016-02-26,0.05138888888888889
2016-02-27,0.051241548625628235
2016-02-28,0.05098951965822872
2016-02-29,0.050653654690397225
2016-03-01,0.05025480642584061
2016-03-02,0.04981382756826577
2016-03-03,0.04935157082137957
2016-03-04,0.04888888888888889
2016-03-05,0.048442033356896806
2016-03-06,0.04800885134109123
2016-03-07,0.04758258883955625
2016-03-08,0.047156491850375994
2016-03-09,0.04672380637163455
2016-03-10,0.04627777840141604
2016-03-11,0.04581165393780456
2016-03-12,0.04531867897888422
2016-03-13,0.044792099522739125
2016-03-14,0.044225161567453396
